02|002|002
05|005|005
06|006|006
07|007|007
0A|010|010
0B|011|011
0D|013|013
0E|014|014
11|017|017
14|020|020
16|022|022
17|023|023
1A|026|026
1D|029|029
1F|031|031
20|032|032
21|033|033
22|034|034
23|035|035
26|038|038
29|041|041
2B|043|043
2E|046|046
2F|047|047
32|050|050
35|053|053
38|056|056
39|057|057
3B|059|059
3C|060|060
3E|062|062
3F|063|063
41|065|065
42|066|066
44|068|068
45|069|069
47|071|071
48|072|072
4A|074|074
4B|075|075
4C|076|076
4F|079|079
52|082|082
54|084|084
57|087|087
59|089|089
5B|091|091
5C|092|092
5D|093|093
5E|094|094
5F|095|095
64|100|100
6C|108|100
6F|111|100
71|113|113
73|115|115
74|116|116
75|117|117
76|118|118
78|120|120
7B|123|123
7C|124|124
7F|127|127
82|130|130
85|133|133
86|134|134
88|136|136
89|137|137
8B|139|139
8C|140|140
8E|142|142
8F|143|143
91|145|145
92|146|146
94|148|148
96|150|150
97|151|151
99|153|153
9A|154|154
9C|156|156
9D|157|157
